,train_acc,train_loss,val_acc,val_loss
0,0.3610800000190735,1.7308339743423462,0.4678,1.4662969875335694
1,0.5256800000190734,1.307911506576538,0.5491,1.2501485303878783
2,0.600559999961853,1.1155140981864928,0.6179,1.066963289642334
3,0.648479999961853,0.981135689868927,0.6429,1.0030807750701904
4,0.6932200000190735,0.869776167640686,0.6717,0.9375122442245484
5,0.72808,0.7662683639335632,0.6957,0.8620173093795777
6,0.76564,0.6698580329704285,0.7007,0.8577469171524048
7,0.7970199999809265,0.5824472267723083,0.7151,0.8353827594757081
8,0.825540000038147,0.5073492654514312,0.721,0.834390614080429
9,0.8459399999809265,0.4574023075771332,0.7245,0.8320862886428833
