product_name,joshua
Red (special Edition) (dvdvideo),144.27446999339062
Pink Friday: Roman Reloaded Re-Up (w/dvd),25.0
Cheetos Crunchy Flamin' Hot Cheese Flavored Snacks,25.0
"Smead174 Recycled Letter Size Manila File Backs W/prong Fasteners, 2 Capacity, 100/box",25.0
Godzilla 3d Includes Digital Copy Ultraviolet 3d/2d Blu-Ray/dvd,17.509306605952798
My Big Fat Greek Wedding 2 (blu-Ray + Dvd + Digital),5.5113519212621505
Mike Dave Need Wedding Dates (dvd + Digital),5.261857892036909
"Vicks Vaporub, Regular, 3.53oz",4.951684543525108
The Resident Evil Collection 5 Discs (blu-Ray),4.951684543525108
Tostitos Bite Size Tortilla Chips,3.7500000000000004
Ragu Traditional Pasta Sauce,3.0618621784789726
There's Something About Mary (dvd),3.0618621784789726
"Just For Men Touch Of Gray Gray Hair Treatment, Black T-55",3.0618621784789726
Clorox Disinfecting Wipes Value Pack Scented 150 Ct Total,3.0618621784789726
Vaseline Intensive Care Lip Therapy Cocoa Butter,1.8898223650461354
Hoover174 Platinum Collection153 Lightweight Bagged Upright Vacuum With Canister - Uh30010com,1.8898223650461354
"Physicians Formula Powder Palette Mineral Glow Pearls, Translucent Pearl",0.0
Orajel Maximum Strength Toothache Pain Relief Liquid,0.0
Pacific Natural Foods Organic Beef Broth,0.0
"Pantene Color Preserve Volume Shampoo, 25.4oz",0.0
